Label,Phase,RuntimeMS,Rank,MixType,Done%,DoneBytes,MiB/s,IOPS,Entries,Entries/s,Active,CPU,Service,
,WRITE,5001,Total,,0,238520631296,45494,45494,0,0,64,13,,
,WRITE,10001,Total,,0,303021686784,12302,12302,0,0,64,5,,
,WRITE,15001,Total,,0,335614574592,6216,6216,0,0,64,3,,
,WRITE,20001,Total,,0,363138646016,5249,5249,0,0,64,2,,
,WRITE,25001,Total,,0,391357923328,5382,5382,0,0,64,2,,
,WRITE,30001,Total,,0,420790403072,5613,5613,0,0,64,2,,
,WRITE,35001,Total,,0,448436109312,5273,5273,0,0,64,3,,
,WRITE,40001,Total,,0,474570817536,4984,4984,0,0,64,3,,
,WRITE,45001,Total,,0,503557652480,5528,5528,0,0,64,3,,
,WRITE,50001,Total,,0,503557652480,0,0,0,0,64,3,,
,WRITE,55001,Total,,0,503557652480,0,0,0,0,64,3,,
,WRITE,60001,Total,,0,503557652480,0,0,0,0,64,3,,
,WRITE,65001,Total,,0,503557652480,0,0,0,0,64,3,,
,WRITE,70001,Total,,0,503557652480,0,0,0,0,64,3,,
,WRITE,75001,Total,,0,503557652480,0,0,0,0,64,3,,
,WRITE,80001,Total,,0,503557652480,0,0,0,0,64,3,,
,WRITE,85001,Total,,0,503557652480,0,0,0,0,64,3,,
,WRITE,90001,Total,,0,503557652480,0,0,0,0,64,3,,
