Label,Phase,RuntimeMS,Rank,MixType,Done%,DoneBytes,MiB/s,IOPS,Entries,Entries/s,Active,CPU,Service,
,WRITE,5001,Total,,0,253559308288,48362,48362,0,0,128,15,,
,WRITE,10001,Total,,0,286163730432,6218,6218,0,0,128,4,,
,WRITE,15001,Total,,0,312843698176,5088,5088,0,0,128,2,,
,WRITE,20001,Total,,0,336836165632,4576,4576,0,0,128,3,,
,WRITE,25001,Total,,0,366529740800,5663,5663,0,0,128,3,,
,WRITE,30001,Total,,0,395398086656,5506,5506,0,0,128,2,,
,WRITE,35001,Total,,0,424258043904,5504,5504,0,0,128,4,,
,WRITE,40001,Total,,0,448853442560,4691,4691,0,0,128,4,,
,WRITE,45001,Total,,0,473391169536,4680,4680,0,0,128,2,,
,WRITE,50001,Total,,0,473391169536,0,0,0,0,128,2,,
,WRITE,55001,Total,,0,473391169536,0,0,0,0,128,2,,
,WRITE,60001,Total,,0,473391169536,0,0,0,0,128,2,,
,WRITE,65001,Total,,0,473391169536,0,0,0,0,128,2,,
,WRITE,70001,Total,,0,473391169536,0,0,0,0,128,2,,
,WRITE,75001,Total,,0,473391169536,0,0,0,0,128,2,,
,WRITE,80001,Total,,0,473391169536,0,0,0,0,128,2,,
,WRITE,85001,Total,,0,474298187776,173,173,0,0,64,2,,
